SCHOOL,ACCEPTANCE RATE,YIELD,SAT TOTAL 25th-75th%,ACT TOTAL 25th-75th%,% SUBMITTING SAT,% SUBMITTING ACT,SUPERSCORING,SCORE CHOICE,TEST OPTIONAL/BLIND,SELF-REPORTING SAT/ACT SCORE
Providence College,54%,17%,1210–1360,27–31,44%,14%,Yes,Recommends All,Yes,Yes
Quinnipiac University,73%,11%,1070–1260,23–28,71%,25%,SAT only,Recommends All,Yes,Yes
Reed College,42%,15%,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind–2022,Test Blind
Rensselaer Polytechnic Institute,47%,19%,1290–1490,29–34,67%,29%,SAT only,Yes,2022,Yes
Rhodes College,51%,17%,1250–1400,27–32,40%,73%,Yes,Yes,2023,Yes
Rice University,11%,39%,1460–1570,34–36,59%,41%,Yes,Recommends All,2022,Yes
Rollins College,61%,14%,1120–1330,24–32,59%,41%,SAT only,Yes,Yes,No
"Rutgers University, New Brunswick",67%,24%,1180–1410,25–32,90%,18%,SAT only,Recommends All,2022,No
Santa Clara University,51%,14%,1280–1430,28–32,68%,39%,Yes,Yes,2022,Yes
Sarah Lawrence College,55%,19%,1220–1410,27–32,41%,23%,Yes,Yes,Yes,Yes
Scripps College,35%,21%,1320–1470,29–33,61%,45%,Yes,Yes,Yes,Yes
Skidmore College,32%,21%,1250–1390,27–31,49%,24%,SAT only,Yes,Yes,Yes
Smith College,37%,27%,1350–1490,31–34,54%,26%,SAT only,Yes,Yes,No
St. John’s College (MD),60%,18%,1210–1430,26–32,57%,20%,Yes,Recommends All,Yes,Yes
St. Lawrence University,47%,20%,1180–1360,28–32,42%,17%,Yes,Yes,Yes,Yes
St. Mary’s College of California,77%,11%,1080–1260,21–28,84%,34%,Yes,Recommends All,Yes,Yes
St. Mary’s College of Maryland,79%,19%,1090–1250,23–29,85%,22%,SAT only,Recommends All,Yes,Yes
St. Olaf College,51%,27%,1160–1370,25–32,39%,72%,Yes,Yes,Yes,Yes
Stanford University,5%,68%,1420–1550,31–35,72%,45%,SAT only,Yes,2022,Yes
Stevens Institute of Technology,53%,17%,1320–1480,31–34,73%,23%,Yes,Yes,2022,Yes
SUNY Binghamton University,43%,18%,1320–1440,29–32,99%,31%,Yes,Yes,2023,Yes
SUNY College at Geneseo,61%,14%,1150–1290,24–29,89%,22%,Yes,Yes,Yes,Yes
SUNY Stony Brook University,49%,18%,1240–1420,26–32,88%,20%,SAT only,Recommends All,2022,No
Swarthmore College,9%,35%,1400–1530,31–34,68%,40%,Yes,Yes,2022,Yes
Syracuse University,44%,21%,1180–1380,26–30,70%,32%,Yes,No,2022,No
Texas A & M University,63%,37%,1170–1380,25–32,61%,39%,No,Yes,2022,No
Texas Christian University,48%,23%,1120–1310,25–31,39%,46%,Yes,Recommends All,2023,Yes
The College of New Jersey,51%,21%,1150–1300,24–30,88%,20%,SAT only,Yes,2023,No
The New School,59%,21%,1150–1380,25–30,28%,11%,No,Yes,Yes,Yes
Trinity College (CT),36%,27%,1310–1420,30–32,18%,13%,Yes,Yes,Yes,Yes
Tufts University,16%,43%,1400–1510,32–35,59%,41%,Yes,Yes,2023,Yes
Tulane University,11%,37%,1360–1470,30–33,30%,68%,Yes,Yes,2022,Yes
Union College,41%,15%,1210–1400,28–33,52%,29%,Yes,Yes,Yes,Yes
United States Air Force Academy,13%,78%,1220–1420,29–33,49%,51%,Yes,Yes,No,No
United States Coast Guard Academy,20%,70%,1220–1400,25–30,73%,50%,Yes,Yes,Yes,Yes
United States Military Academy,10%,83%,1220–1440,28–33,85%,70%,Yes,Yes,2022,Yes
United States Naval Academy,9%,84%,1250–1510,27–34,71%,60%,Yes,Yes,No,No
University of Arizona,85%,20%,1110–1340,21–29,46%,49%,No,Yes,Yes,No
University of Chicago,7%,74%,1510–1560,34–35,41%,36%,Yes,Recommends All,Yes,Yes
"University of Colorado, Boulder",84%,17%,1140–1340,24–31,73%,45%,Yes,Recommends All,Yes,Yes
University of Connecticut,49%,20%,1190–1390,27–32,88%,17%,Yes,Yes,2023,No
University of Florida,37%,42%,1370–1450,28–33,81%,50%,Yes,Yes,No,No
University of Georgia,48%,42%,1220–1390,27–32,68%,63%,Yes,Yes,No,No
University of Illinois at Urbana-Champaign,63%,27%,1220–1450,27–33,75%,50%,Yes,Yes,2023,Yes
"University of Maryland, College Park",51%,26%,1290–1460,29–34,84%,28%,Yes,Yes,2023,No
"University of Massachusetts, Amherst",64%,19%,1190–1390,26–32,88%,18%,Yes,Yes,2023,Yes
University of Miami (FL),33%,18%,1260–1400,28–32,55%,40%,Yes,Recommends All,2022,Yes
"University of Michigan, Ann Arbor",26%,41%,1340–1520,31–34,64%,48%,Yes,Yes,2022,Yes
"University of North Carolina, Chapel Hill",24%,43%,1270–1460,27–33,65%,70%,Yes,Yes,2022,Yes
University of Notre Dame,19%,54%,1400–1550,32–35,42%,58%,Yes,Yes,2023,Yes
University of Pennsylvania,9%,61%,1460–1570,33–35,65%,35%,Yes,Recommends All,2022,Yes
University of Puget Sound,84%,9%,1150–1370,25–30,59%,37%,Yes,Yes,Yes,Yes
University of Redlands,75%,16%,1130–1250,26–28,78%,22%,Yes,Recommends All,Yes,Yes
University of Richmond,31%,22%,1290–1440,30–33,59%,40%,Yes,Yes,2022,Yes
University of Rochester,30%,20%,1310–1500,29–33,64%,25%,Yes,Yes,Yes,Yes
University of San Diego,59%,13%,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind
University of San Francisco,48%,8%,1130–1330,23–29,57%,21%,Yes,Recommends All,Yes,Yes
University of Southern California,16%,36%,1360–1510,30–34,69%,41%,SAT only,Yes,2023,No
University of Texas at Austin,32%,46%,1220–1450,26–33,79%,47%,No,Recommends All,2022,No
University of Texas at Dallas,79%,28%,1230–1430,26–33,84%,39%,SAT only,Yes,2022,No
University of the Pacific,66%,7%,1130–1360,23–31,89%,34%,Yes,Recommends All,Yes,Yes
University of Virginia,23%,41%,1330–1490,30–34,70%,36%,Yes,Yes,2023,Yes
"University of Washington, Seattle",56%,29%,1220–1430,27–33,81%,28%,Yes,Yes,Yes,Yes
"University of Wisconsin, Madison",57%,28%,1300–1440,27–32,27%,78%,No,Recommends All,2024,Yes
Ursinus College,72%,14%,1150–1350,24–30,67%,18%,Yes,Yes,Yes,No
Vanderbilt University,12%,40%,1470–1570,33–35,45%,56%,Yes,Recommends All,2022,Yes
Vassar College,25%,28%,1380–1490,32–34,64%,40%,Yes,Yes,2023,Yes
Villanova University,31%,25%,1320–1460,30–33,60%,40%,Yes,Recommends All,2022,Yes
Wake Forest University,32%,38%,1300–1460,30–33,50%,45%,Yes,Yes,Yes,No
Washington and Lee University,19%,37%,1350–1500,32–34,52%,48%,Yes,Recommends All,2022,Yes
"Washington University, St. Louis",19%,40%,1480–1560,33–35,37%,67%,Yes,Yes,2022,Yes
Webb Institute,21%,82%,1420–1530,33–36,78%,22%,Yes,Yes,2022,Yes
Wellesley College,20%,43%,1370–1510,31–34,68%,41%,No,Yes,2022,Yes
Wesleyan University (CT),21%,27%,1340–1510,31–34,49%,37%,Yes,Yes,Yes,Yes
Wheaton College (MA),77%,17%,1180–1340,25–31,52%,7%,Yes,Yes,Yes,No
Williams College,15%,36%,1430–1540,33–35,67%,43%,Yes,Yes,2023,Yes
Worcester Polytechnic Institute,59%,20%,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind,Test Blind–2029,Test Blind
Yale University,7%,55%,1470–1560,33–35,70%,46%,Yes,Yes,2022,Yes
